model,sigma,L,Gamma,chi,poles,MPO_bond_dimension,MPO_error,E0,E1,gap,ground_variance,excited_variance,normalized_ground_variance,normalized_excited_variance,discarded_weight,convergence_residual,correlation_ratio,ed_E0,ed_E1,ed_gap,ed_correlation_ratio,ed_energy_relative_error,correlation_ratio_absolute_error,runtime,git_commit
long_range,2.0,16,1.4,32,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-26.30193977250642,,,2.1734649635618553e-7,,3.1417895134615814e-10,,,1.1121770171484968e-11,0.3815328864870269,-26.301939785345215,-24.936818973036246,1.3651208123089695,0.3815329390487953,4.88131171967883e-10,5.256176843770888e-8,203.21128392219543,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,16,1.42,32,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-26.5320160238326,,,2.059719008684624e-7,,2.9259538723165277e-10,,,9.101386311272108e-12,0.3592524358897184,-26.53201603592781,-25.149044217092406,1.3829718188354043,0.35925248256255266,4.558722620393465e-10,4.6672834264072094e-8,203.08074283599854,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,16,1.44,32,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-26.766464571358927,,,1.9380706817173632e-7,,2.705126561715917e-10,,,4.680034138004885e-12,0.33871510008974925,-26.76646458267631,-25.360140192587615,1.4063243900886953,0.3387151415961761,4.2281947814522046e-10,4.150642685107897e-8,201.14405703544617,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,16,1.46,32,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-27.00508569007067,,,1.8130833723262185e-7,,2.486146151589672e-10,,,3.0946356588401613e-12,0.31984062320893397,-27.005085700600784,-25.570206712351528,1.434878988249256,0.3198406602368099,3.8993082869712885e-10,3.702787593207191e-8,204.14537286758423,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.38,32,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-52.051632620600934,,,2.559623726483551e-5,,9.447293665666699e-9,,,1.192258514137734e-10,0.45858530244950835,,,,,,,215.74105405807495,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.4,32,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-52.49866235123277,,,2.7014392344426597e-5,,9.80163954566867e-9,,,1.397543192283024e-10,0.409538608153957,,,,,,,215.9115490913391,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.42,32,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-52.95689835606454,,,2.8187969746795716e-5,,1.0051218519955276e-8,,,1.6627299537219642e-10,0.3657044311796807,,,,,,,222.33142399787903,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.44,32,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-53.42591565947364,,,2.8712148832710227e-5,,1.005916074281743e-8,,,1.635579449654756e-10,0.32730706404232596,,,,,,,211.43981409072876,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.46,32,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-53.905058214694904,,,2.781471084745135e-5,,9.572282578866176e-9,,,9.448762883224049e-10,0.29416537524867,,,,,,,208.01183581352234,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,32,1.52,64,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-56.03695873177296,,,3.790059963648673e-7,,1.206971366173138e-10,,,1.3210543770014738e-12,0.4187065331537671,,,,,,,251.21020102500916,5b254486579d4041e900f3266df067a8f85edfc4
